level_0,Symbols,Close,High,Low,Open,Volume
2020-04-29,BNTX,48.7822,49.2279,45.6918,47.544,1783324.8746747
2020-04-29,MRNA,46.37,46.9497,45.01,46.6,11761966.0
2020-04-30,AMZN,123.7,123.75,119.801,120.992,190692220.0
2020-04-30,BNTX,47.029,48.7525,45.5829,48.7426,1044032.304834
2020-04-30,MRNA,45.99,48.37,45.82,46.78,7741871.0
2020-05-01,AMZN,114.302,118.122,112.91,116.84,195452100.0
2020-05-01,BNTX,44.6815,46.5436,42.5915,45.563,882964.31350942
2020-05-01,MRNA,47.93,50.45,46.29,48.71,21701291.0
2020-05-04,AMZN,115.8,116.349,112.819,112.819,97318520.0
2020-05-04,BNTX,45.3451,47.019,43.9386,44.7706,792382.87680073
2020-05-04,MRNA,50.5,50.5,48.0,48.05,10460549.0
2020-05-05,AMZN,115.89,117.55,115.356,117.0,64849920.0
2020-05-05,BNTX,49.525,49.8965,47.2528,47.9502,2629769.2841475
2020-05-05,MRNA,49.34,50.96,47.23,50.48,11160180.0
2020-05-06,AMZN,117.563,117.872,116.0,116.472,62356280.0
2020-05-06,BNTX,47.3261,49.7231,47.0488,49.6637,898297.96851473
2020-05-06,MRNA,48.95,49.25,47.5201,48.45,6692345.0
2020-05-07,AMZN,118.381,118.8,117.156,118.739,67928220.0
2020-05-07,BNTX,48.8515,49.0298,47.8907,48.7921,824418.1814474
2020-05-07,MRNA,53.19,55.99,51.06,55.78,30942700.0
2020-05-08,AMZN,118.98,119.362,117.85,118.607,64224560.0
2020-05-08,BNTX,48.7723,49.4141,47.7497,48.693,704620.21575538
2020-05-08,MRNA,59.25,59.88,52.15,53.06,24135545.0
2020-05-11,AMZN,120.45,120.983,118.606,118.735,65184620.0
2020-05-11,BNTX,49.5052,50.3075,47.4584,49.1388,1905474.1757965
2020-05-11,MRNA,66.9,67.67,59.1401,59.6,34852044.0
2020-05-12,AMZN,117.848,120.95,117.75,120.592,61498320.0
2020-05-12,BNTX,48.8614,51.6249,48.7326,49.9212,1928548.3583844
2020-05-12,MRNA,62.35,68.49,62.02,65.99,25934464.0
2020-05-13,AMZN,118.396,120.385,116.89,118.34,95658380.0
2020-05-13,BNTX,48.0294,50.4066,46.9795,50.0203,1482870.8498142
2020-05-13,MRNA,65.18,66.97,60.29,63.8003,22125959.0
2020-05-14,AMZN,119.442,119.568,117.66,118.051,72962560.0
2020-05-14,BNTX,48.1978,48.6138,44.6518,48.0987,1109648.5966275
2020-05-14,MRNA,64.56,65.39,61.44,64.79,12198249.0
2020-05-15,AMZN,120.489,120.55,117.818,118.426,84699020.0
2020-05-15,BNTX,49.0199,49.2675,47.7421,48.0492,801441.92910272
2020-05-15,MRNA,66.69,67.67,63.01,63.79,16341869.0
2020-05-18,AMZN,121.313,121.65,119.2,120.217,87331440.0
2020-05-18,BNTX,59.5984,59.856,50.1193,54.22,5065315.6368616
2020-05-18,MRNA,80.0,87.0,75.66,86.14,81209374.0
2020-05-19,AMZN,122.466,124.25,121.448,121.492,86409960.0
2020-05-19,BNTX,50.1094,57.3896,49.4755,56.4586,3646767.793875
2020-05-19,MRNA,71.67,79.75,70.32,78.07,64932254.0
2020-05-20,AMZN,124.897,125.001,123.364,123.893,79962860.0
2020-05-20,BNTX,52.5362,53.2097,51.1297,52.7046,1998331.2286746
2020-05-20,MRNA,73.47,74.48,67.41,70.01,53655278.0
2020-05-21,AMZN,122.337,126.272,122.127,125.0,102288060.0
2020-05-21,BNTX,51.407,53.6852,50.6592,53.5861,1104799.5351981
2020-05-21,MRNA,67.05,73.16,65.31,73.05,35317971.0
2020-05-22,AMZN,121.844,123.492,121.506,122.751,57341580.0
2020-05-22,BNTX,50.5453,52.1103,50.2778,51.6546,950586.66090578
2020-05-22,MRNA,69.0,70.6,67.14,69.93,28912678.0
2020-05-26,AMZN,121.093,123.1,120.703,122.9,71363060.0
2020-05-26,BNTX,50.3967,52.0508,48.8713,51.9023,1525923.8116292
2020-05-26,MRNA,57.71,66.59,57.05,66.4,40332555.0
2020-05-27,AMZN,120.52,120.679,116.5,120.249,101138900.0
2020-05-27,BNTX,47.1379,49.743,45.8602,49.0595,1827578.2391629
2020-05-27,MRNA,52.18,53.34,46.1301,51.2,59514749.0
2020-05-28,AMZN,120.055,121.848,118.912,119.216,63862720.0
2020-05-28,BNTX,46.4248,49.634,46.3089,47.8808,1121006.4856722
2020-05-28,MRNA,55.54,59.11,53.35,53.5,32308594.0
2020-05-29,AMZN,122.118,122.118,119.91,120.797,70586580.0
2020-05-29,BNTX,49.0595,49.0595,46.712,47.7322,768042.66818056
2020-05-29,MRNA,61.5,61.65,56.56,57.45,38224872.0
2020-06-01,AMZN,123.552,123.846,122.208,122.4,58760640.0
2020-06-01,BNTX,51.8032,52.7046,49.0694,49.525,1288051.2506095
2020-06-01,MRNA,62.18,63.9,60.51,62.76,21257477.0
2020-06-02,AMZN,123.62,123.676,122.266,123.35,50598060.0
2020-06-02,BNTX,51.8824,52.348,49.6241,51.4862,695221.94116725
2020-06-02,MRNA,59.87,59.95,55.3553,58.7,21701140.0
2020-06-03,AMZN,123.92,124.4,123.059,123.401,53420480.0
2020-06-03,BNTX,50.674,51.7339,49.0694,51.3575,1393108.1907068
2020-06-03,MRNA,59.89,63.37,57.1,57.51,20811530.0
2020-06-04,AMZN,123.03,125.377,122.501,123.872,58974200.0
2020-06-04,BNTX,49.525,51.3674,49.2279,49.9708,629610.6973244
2020-06-04,MRNA,60.59,61.93,58.52,61.61,13503951.0
2020-06-05,AMZN,124.15,124.432,121.857,122.226,66128900.0
2020-06-05,BNTX,48.7128,49.7529,48.0393,49.3269,776422.26632015
2020-06-05,MRNA,58.19,59.19,56.63,58.49,14677935.0
2020-06-08,AMZN,126.203,126.5,124.367,125.01,79413080.0
2020-06-08,BNTX,48.3166,48.7733,46.9696,48.7525,1153581.9210423
